TP;NG;TC;TM;IG;SOMA_GANHO;MEDIA_PRIORIDADE;GANHO_MEDIO_FORMULA
100;200;0.8;0;0.1;2613;130.65;13065
50;10;0.5;0.2;0;2612;130.6;13060
50;100;0.8;0.8;0.1;2612;130.6;13060
50;200;0.5;0.8;0;2612;130.6;13060
100;50;0.8;0.8;0.1;2612;130.6;13060
100;100;0.8;0;0.7;2612;130.6;13060
10;50;0.5;0.2;0.1;2611;130.55;13055
10;100;0.2;0.2;0;2611;130.55;13055
10;200;0.2;0.8;0.1;2611;130.55;13055
100;50;0.2;0.8;0.1;2611;130.55;13055
100;50;0.8;0.8;0;2611;130.55;13055
10;100;0.5;0.2;0.7;2610;130.5;13050
50;50;0.5;0.8;0;2610;130.5;13050
100;10;0.2;0.2;0;2610;130.5;13050
100;50;0.5;0;0;2610;130.5;13050
10;200;0.2;0.8;0;2609;130.45;13045
100;10;0.2;0.2;0.7;2609;130.45;13045
100;50;0.5;0.8;0;2609;130.45;13045
100;100;0.2;0;0;2609;130.45;13045
100;100;0.5;0;0;2609;130.45;13045
10;50;0.5;0.2;0;2608;130.4;13040
50;10;0.2;0.2;0.1;2608;130.4;13040
50;10;0.5;0.2;0.1;2608;130.4;13040
50;50;0.2;0.8;0.1;2608;130.4;13040
10;50;0.8;0.2;0;2607;130.35;13035
10;100;0.2;0.2;0.7;2607;130.35;13035
50;100;0.5;0.8;0.1;2607;130.35;13035
100;10;0.5;0.2;0.7;2607;130.35;13035
100;50;0.2;0;0;2607;130.35;13035
10;100;0.8;0.2;0.7;2606;130.3;13030
100;10;0.8;0.2;0.7;2606;130.3;13030
100;200;0.2;0.8;0.7;2606;130.3;13030
100;200;0.5;0;0;2606;130.3;13030
100;200;0.5;0;0.7;2606;130.3;13030
10;50;0.5;0.2;0.7;2605;130.25;13025
10;200;0.5;0.8;0.1;2605;130.25;13025
10;200;0.8;0.8;0.1;2605;130.25;13025
50;50;0.8;0;0;2605;130.25;13025
50;50;0.8;0;0.1;2605;130.25;13025
